DATE,WGS3YR
2010-09-17,0.78
2010-09-24,0.69
2010-10-01,0.65
2010-10-08,0.57
2010-10-15,0.59
2010-10-22,0.53
2010-10-29,0.57
2010-11-05,0.49
2010-11-12,0.65
2010-11-19,0.78
2010-11-26,0.75
2010-12-03,0.8
2010-12-10,0.92
2010-12-17,1.03
2010-12-24,1.05
2010-12-31,1.08
2011-01-07,1.07
2011-01-14,1.01
2011-01-21,1.03
2011-01-28,1.01
2011-02-04,1.12
2011-02-11,1.36
2011-02-18,1.37
2011-02-25,1.23
2011-03-04,1.21
2011-03-11,1.19
2011-03-18,1.04
2011-03-25,1.17
2011-04-01,1.3
2011-04-08,1.32
2011-04-15,1.27
2011-04-22,1.15
2011-04-29,1.07
2011-05-06,0.99
2011-05-13,0.97
2011-05-20,0.93
2011-05-27,0.87
2011-06-03,0.77
2011-06-10,0.72
2011-06-17,0.71
2011-06-24,0.65
2011-07-01,0.77
2011-07-08,0.76
2011-07-15,0.63
2011-07-22,0.65
2011-07-29,0.66
2011-08-05,0.5
2011-08-12,0.35
2011-08-19,0.33
2011-08-26,0.37
2011-09-02,0.33
2011-09-09,0.33
2011-09-16,0.35
2011-09-23,0.33
2011-09-30,0.42
2011-10-07,0.44
2011-10-14,0.52
2011-10-21,0.47
2011-10-28,0.48
2011-11-04,0.38
2011-11-11,0.38
2011-11-18,0.4
2011-11-25,0.41
2011-12-02,0.4
2011-12-09,0.38
2011-12-16,0.36
2011-12-23,0.4
2011-12-30,0.41
2012-01-06,0.4
2012-01-13,0.36
2012-01-20,0.36
2012-01-27,0.35
2012-02-03,0.31
2012-02-10,0.35
2012-02-17,0.4
2012-02-24,0.43
2012-03-02,0.42
2012-03-09,0.43
2012-03-16,0.54
2012-03-23,0.58
2012-03-30,0.51
2012-04-06,0.51
2012-04-13,0.43
2012-04-20,0.41
2012-04-27,0.39
2012-05-04,0.39
2012-05-11,0.36
2012-05-18,0.39
2012-05-25,0.41
2012-06-01,0.37
2012-06-08,0.36
2012-06-15,0.39
2012-06-22,0.4
2012-06-29,0.41
2012-07-06,0.39
2012-07-13,0.36
2012-07-20,0.31
2012-07-27,0.3
2012-08-03,0.31
2012-08-10,0.36
2012-08-17,0.4
2012-08-24,0.39
2012-08-31,0.35
2012-09-07,0.33
2012-09-14,0.33
2012-09-21,0.36
2012-09-28,0.34
2012-10-05,0.32
2012-10-12,0.35
2012-10-19,0.39
2012-10-26,0.41
2012-11-02,0.39
2012-11-09,0.37
2012-11-16,0.33
2012-11-23,0.36
2012-11-30,0.35
2012-12-07,0.33
2012-12-14,0.33
2012-12-21,0.38
2012-12-28,0.38
2013-01-04,0.39
2013-01-11,0.38
2013-01-18,0.37
2013-01-25,0.39
2013-02-01,0.42
2013-02-08,0.39
2013-02-15,0.42
2013-02-22,0.42
2013-03-01,0.36
2013-03-08,0.38
2013-03-15,0.42
2013-03-22,0.38
2013-03-29,0.37
2013-04-05,0.34
2013-04-12,0.34
2013-04-19,0.34
2013-04-26,0.34
2013-05-03,0.32
2013-05-10,0.35
2013-05-17,0.4
2013-05-24,0.41
2013-05-31,0.5
2013-06-07,0.49
2013-06-14,0.55
2013-06-21,0.57
2013-06-28,0.7
2013-07-05,0.68
2013-07-12,0.69
2013-07-19,0.62
2013-07-26,0.61
2013-08-02,0.62
2013-08-09,0.61
2013-08-16,0.68
2013-08-23,0.77
2013-08-30,0.79
2013-09-06,0.9
2013-09-13,0.88
2013-09-20,0.73
2013-09-27,0.66
2013-10-04,0.64
2013-10-11,0.68
2013-10-18,0.64
2013-10-25,0.6
2013-11-01,0.59
2013-11-08,0.59
2013-11-15,0.6
2013-11-22,0.57
2013-11-29,0.56
2013-12-06,0.6
2013-12-13,0.65
2013-12-20,0.68
2013-12-27,0.79
2014-01-03,0.78
2014-01-10,0.82
2014-01-17,0.78
2014-01-24,0.8
2014-01-31,0.73
2014-02-07,0.66
2014-02-14,0.7
2014-02-21,0.7
2014-02-28,0.69
2014-03-07,0.72
2014-03-14,0.77
2014-03-21,0.85
2014-03-28,0.91
2014-04-04,0.92
2014-04-11,0.84
2014-04-18,0.86
2014-04-25,0.91
2014-05-02,0.89
2014-05-09,0.89
2014-05-16,0.82
2014-05-23,0.79
2014-05-30,0.78
2014-06-06,0.84
2014-06-13,0.91
2014-06-20,0.95
2014-06-27,0.92
2014-07-04,0.93
2014-07-11,0.96
2014-07-18,0.96
2014-07-25,0.98
2014-08-01,1.0
2014-08-08,0.92
2014-08-15,0.89
2014-08-22,0.93
2014-08-29,0.97
2014-09-05,1.0
2014-09-12,1.06
2014-09-19,1.07
2014-09-26,1.06
2014-10-03,1.04
2014-10-10,0.94
2014-10-17,0.77
2014-10-24,0.8
2014-10-31,0.89
2014-11-07,0.97
2014-11-14,0.98
2014-11-21,0.97
2014-11-28,0.93
2014-12-05,0.98
2014-12-12,1.04
2014-12-19,1.06
2014-12-26,1.17
2015-01-02,1.11
2015-01-09,1.01
2015-01-16,0.83
2015-01-23,0.87
2015-01-30,0.84
2015-02-06,0.88
2015-02-13,1.04
2015-02-20,1.06
2015-02-27,1.01
2015-03-06,1.09
2015-03-13,1.09
2015-03-20,1.0
2015-03-27,0.94
2015-04-03,0.87
2015-04-10,0.87
2015-04-17,0.85
2015-04-24,0.87
2015-05-01,0.91
2015-05-08,0.99
2015-05-15,0.96
2015-05-22,0.98
2015-05-29,0.98
2015-06-05,1.05
2015-06-12,1.12
2015-06-19,1.05
2015-06-26,1.07
2015-07-03,1.03
2015-07-10,0.96
2015-07-17,1.04
2015-07-24,1.07
2015-07-31,1.03
2015-08-07,1.07
2015-08-14,1.05
2015-08-21,1.01
2015-08-28,0.98
2015-09-04,1.03
2015-09-11,1.05
2015-09-18,1.05
2015-09-25,0.99
2015-10-02,0.92
2015-10-09,0.92
2015-10-16,0.89
2015-10-23,0.91
2015-10-30,0.99
2015-11-06,1.15
2015-11-13,1.23
2015-11-20,1.2
2015-11-27,1.24
2015-12-04,1.24
2015-12-11,1.22
2015-12-18,1.3
2015-12-25,1.31
2016-01-01,1.35
2016-01-08,1.26
2016-01-15,1.15
2016-01-22,1.09
2016-01-29,1.05
2016-02-05,0.93
2016-02-12,0.85
2016-02-19,0.91
2016-02-26,0.9
2016-03-04,0.98
2016-03-11,1.09
2016-03-18,1.08
2016-03-25,1.05
2016-04-01,0.93
2016-04-08,0.86
2016-04-15,0.89
2016-04-22,0.96
2016-04-29,0.98
2016-05-06,0.91
2016-05-13,0.89
2016-05-20,1.02
2016-05-27,1.06
2016-06-03,1.01
2016-06-10,0.92
2016-06-17,0.83
2016-06-24,0.86
2016-07-01,0.71
2016-07-08,0.69
2016-07-15,0.81
2016-07-22,0.84
2016-07-29,0.83
2016-08-05,0.79
2016-08-12,0.84
2016-08-19,0.85
2016-08-26,0.89
2016-09-02,0.92
2016-09-09,0.89
2016-09-16,0.91
2016-09-23,0.92
2016-09-30,0.87
2016-10-07,0.97
2016-10-14,1.01
2016-10-21,0.97
2016-10-28,1.01
2016-11-04,0.98
2016-11-11,1.08
2016-11-18,1.3
2016-11-25,1.38
2016-12-02,1.4
2016-12-09,1.41
2016-12-16,1.53
2016-12-23,1.55
2016-12-30,1.52
2017-01-06,1.48
2017-01-13,1.47
2017-01-20,1.49
2017-01-27,1.48
2017-02-03,1.48
2017-02-10,1.44
2017-02-17,1.51
2017-02-24,1.45
2017-03-03,1.54
2017-03-10,1.64
2017-03-17,1.64
2017-03-24,1.53
2017-03-31,1.53
2017-04-07,1.47
2017-04-14,1.45
2017-04-21,1.39
2017-04-28,1.46
2017-05-05,1.49
2017-05-12,1.54
2017-05-19,1.46
2017-05-26,1.46
2017-06-02,1.44
2017-06-09,1.46
2017-06-16,1.49
2017-06-23,1.5
2017-06-30,1.52
2017-07-07,1.6
2017-07-14,1.56
2017-07-21,1.52
2017-07-28,1.52
2017-08-04,1.51
2017-08-11,1.49
2017-08-18,1.48
2017-08-25,1.47
2017-09-01,1.45
2017-09-08,1.4
2017-09-15,1.48
2017-09-22,1.57
2017-09-29,1.59
2017-10-06,1.63
2017-10-13,1.65
2017-10-20,1.7
2017-10-27,1.73
2017-11-03,1.73
2017-11-10,1.76
2017-11-17,1.82
2017-11-24,1.86
2017-12-01,1.87
2017-12-08,1.93
2017-12-15,1.93
2017-12-22,1.98
2017-12-29,2.0
2018-01-05,2.04
2018-01-12,2.09
2018-01-19,2.16
2018-01-26,2.21
2018-02-02,2.3
2018-02-09,2.29
2018-02-16,2.36
2018-02-23,2.41
2018-03-02,2.4
2018-03-09,2.42
2018-03-16,2.42
2018-03-23,2.45
2018-03-30,2.41
2018-04-06,2.41
2018-04-13,2.47
2018-04-20,2.56
2018-04-27,2.63
2018-05-04,2.63
2018-05-11,2.67
2018-05-18,2.73
2018-05-25,2.68
2018-06-01,2.53
2018-06-08,2.63
2018-06-15,2.68
2018-06-22,2.66
2018-06-29,2.62
2018-07-06,2.64
2018-07-13,2.67
2018-07-20,2.68
2018-07-27,2.75
2018-08-03,2.76
2018-08-10,2.74
2018-08-17,2.69
2018-08-24,2.66
2018-08-31,2.72
2018-09-07,2.74
2018-09-14,2.82
2018-09-21,2.88
2018-09-28,2.89
2018-10-05,2.94
2018-10-12,2.96
2018-10-19,2.96
2018-10-26,2.92
2018-11-02,2.92
2018-11-09,3.02
2018-11-16,2.91
2018-11-23,2.83
2018-11-30,2.84
2018-12-07,2.78
2018-12-14,2.75
2018-12-21,2.64
2018-12-28,2.55
2019-01-04,2.44
2019-01-11,2.53
2019-01-18,2.54
2019-01-25,2.56
2019-02-01,2.51
2019-02-08,2.48
2019-02-15,2.49
2019-02-22,2.47
2019-03-01,2.49
2019-03-08,2.48
2019-03-15,2.42
2019-03-22,2.35
2019-03-29,2.18
2019-04-05,2.29
2019-04-12,2.31
2019-04-19,2.37
2019-04-26,2.3
2019-05-03,2.28
2019-05-10,2.24
2019-05-17,2.15
2019-05-24,2.14
2019-05-31,2.0
2019-06-07,1.82
2019-06-14,1.83
2019-06-21,1.75
2019-06-28,1.7
2019-07-05,1.75
2019-07-12,1.83
2019-07-19,1.79
2019-07-26,1.8
2019-08-02,1.76
2019-08-09,1.54
2019-08-16,1.5
2019-08-23,1.48
2019-08-30,1.44
2019-09-06,1.42
2019-09-13,1.64
2019-09-20,1.68
2019-09-27,1.59
2019-10-04,1.44
2019-10-11,1.46
2019-10-18,1.58
2019-10-25,1.59
2019-11-01,1.59
2019-11-08,1.64
2019-11-15,1.64
2019-11-22,1.58
2019-11-29,1.6
2019-12-06,1.6
2019-12-13,1.65
2019-12-20,1.66
2019-12-27,1.64
2020-01-03,1.59
2020-01-10,1.58
2020-01-17,1.58
2020-01-24,1.51
2020-01-31,1.38
2020-02-07,1.4
2020-02-14,1.4
2020-02-21,1.35
2020-02-28,1.09
2020-03-06,0.68
2020-03-13,0.54
2020-03-20,0.51
2020-03-27,0.36
2020-04-03,0.29
2020-04-10,0.34
2020-04-17,0.27
2020-04-24,0.26
2020-05-01,0.26
2020-05-08,0.22
2020-05-15,0.21
2020-05-22,0.22
2020-05-29,0.21
2020-06-05,0.24
2020-06-12,0.24
2020-06-19,0.22
2020-06-26,0.21
2020-07-03,0.19
2020-07-10,0.19
2020-07-17,0.18
2020-07-24,0.17
2020-07-31,0.15
2020-08-07,0.13
2020-08-14,0.18
2020-08-21,0.17
2020-08-28,0.18
2020-09-04,0.16
2020-09-11,0.17
2020-09-18,0.16
2020-09-25,0.15
2020-10-02,0.15
2020-10-09,0.19
2020-10-16,0.18
2020-10-23,0.2
2020-10-30,0.19
2020-11-06,0.2
2020-11-13,0.24
2020-11-20,0.22
2020-11-27,0.21
2020-12-04,0.21
2020-12-11,0.2
2020-12-18,0.18
2020-12-25,0.18
2021-01-01,0.17
2021-01-08,0.2
2021-01-15,0.22
2021-01-22,0.2
2021-01-29,0.18
2021-02-05,0.18
2021-02-12,0.19
2021-02-19,0.22
2021-02-26,0.26
2021-03-05,0.29
2021-03-12,0.33
2021-03-19,0.32
2021-03-26,0.31
2021-04-02,0.35
2021-04-09,0.35
2021-04-16,0.35
2021-04-23,0.33
2021-04-30,0.35
2021-05-07,0.32
2021-05-14,0.33
2021-05-21,0.34
2021-05-28,0.31
2021-06-04,0.32
2021-06-11,0.31
2021-06-18,0.4
2021-06-25,0.47
2021-07-02,0.46
2021-07-09,0.4
2021-07-16,0.44
2021-07-23,0.38
2021-07-30,0.37
2021-08-06,0.36
2021-08-13,0.45
2021-08-20,0.43
2021-08-27,0.44
2021-09-03,0.41
2021-09-10,0.44
2021-09-17,0.45
2021-09-24,0.49
2021-10-01,0.54
2021-10-08,0.55
2021-10-15,0.66
2021-10-22,0.74
2021-10-29,0.76
2021-11-05,0.73
2021-11-12,0.79
2021-11-19,0.86
2021-11-26,0.92
2021-12-03,0.85
2021-12-10,0.97
2021-12-17,0.96
2021-12-24,0.95
2021-12-31,0.98
2022-01-07,1.1
2022-01-14,1.22
2022-01-21,1.33
2022-01-28,1.35
2022-02-04,1.43
2022-02-11,1.65
2022-02-18,1.75
2022-02-25,1.75
2022-03-04,1.61
2022-03-11,1.82
2022-03-18,2.1
2022-03-25,2.38
2022-04-01,2.53
2022-04-08,2.67
2022-04-15,2.64
2022-04-22,2.81
2022-04-29,2.79
2022-05-06,2.92
2022-05-13,2.79
2022-05-20,2.8
2022-05-27,2.67
2022-06-03,2.81
2022-06-10,3.0
2022-06-17,3.44
2022-06-24,3.2
2022-07-01,3.08
2022-07-08,3.0
2022-07-15,3.12
2022-07-22,3.12
2022-07-29,2.91
2022-08-05,3.0
2022-08-12,3.16
2022-08-19,3.22
2022-08-26,3.38
2022-09-02,3.47
2022-09-09,3.55
2022-09-16,3.76
2022-09-23,4.03
2022-09-30,4.26
2022-10-07,4.19
2022-10-14,4.38
2022-10-21,4.52
2022-10-28,4.41
2022-11-04,4.54
2022-11-11,4.46
2022-11-18,4.21
2022-11-25,4.26
2022-12-02,4.11
2022-12-09,4.06
2022-12-16,3.97
2022-12-23,4.03
2022-12-30,4.18
2023-01-06,4.11
2023-01-13,3.89
2023-01-20,3.79
2023-01-27,3.87
2023-02-03,3.86
2023-02-10,4.13
2023-02-17,4.31
2023-02-24,4.45
2023-03-03,4.57
2023-03-10,4.57
2023-03-17,3.89
2023-03-24,3.73
2023-03-31,3.84
2023-04-07,3.64
2023-04-14,3.74
2023-04-21,3.91
2023-04-28,3.74
2023-05-05,3.64
2023-05-12,3.63
2023-05-19,3.83
2023-05-26,4.09
2023-06-02,4.06
2023-06-09,4.17
2023-06-16,4.28
2023-06-23,4.32
2023-06-30,4.4
2023-07-07,4.62
2023-07-14,4.4
2023-07-21,4.38
2023-07-28,4.52
2023-08-04,4.53
2023-08-11,4.45
2023-08-18,4.65
2023-08-25,4.7
2023-09-01,4.59
2023-09-08,4.68
2023-09-15,4.67
2023-09-22,4.8
2023-09-29,4.84
2023-10-06,4.87
2023-10-13,4.77
2023-10-20,4.97
2023-10-27,4.9
2023-11-03,4.79
2023-11-10,4.72
2023-11-17,4.65
2023-11-24,4.63
2023-12-01,4.46
2023-12-08,4.36
2023-12-15,4.25
2023-12-22,4.09
2023-12-29,4.01
2024-01-05,4.12
2024-01-12,4.05
2024-01-19,4.11
2024-01-26,4.15
2024-02-02,4.08
2024-02-09,4.21
2024-02-16,4.37
2024-02-23,4.44
2024-03-01,4.43
2024-03-08,4.31
2024-03-15,4.39
